Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.159.130.234-192.168.16.107-443-64474-6,162.159.130.234,443,192.168.16.107,64474,6,11/05/2025 05:26:37 PM,8129816,37,35,5033.0,76.0,628.0,42.0,136.0270270270271,133.08111279435028,76.0,0.0,2.1714285714285717,12.846344671873451,628.4275068464034,8.856288998422597,114504.45070422532,172713.3875866347,764509.0,49.0,8080087.0,224446.86111111115,220060.54373040848,805380.0,8287.0,8129816.0,239112.2352941176,220370.35002248798,805218.0,9117.0,0,1,0,0,740,700,4.551148513078279,4.305140485344317,0.0,628.0,71.02739726027397,115.79915234322502,13409.443683409436,0,0,0,1,1,0,0,0,0.0,72.01388888888889,136.02702702702703,2.1714285714285713,0,0,0,0,0,0,37,5033,35,76,-1,254,37,0,0,0,0,0,0,0,0,0,No Label
162.159.130.235-192.168.16.107-443-64490-6,162.159.130.235,443,192.168.16.107,64490,6,11/05/2025 05:26:37 PM,4844589,3,4,56.0,697.0,56.0,0.0,18.666666666666668,32.331615074619044,423.0,0.0,174.25,185.47843540422699,155.43114183679978,1.4449110130911003,807431.5,1897258.201898176,4680094.0,8761.0,4728311.0,2364155.5,3287621.561341953,4688855.0,39456.0,4844589.0,1614863.0,2695835.0757173556,4727545.0,27947.0,0,1,0,0,60,80,0.619247577039043,0.8256634360520573,0.0,423.0,119.25,148.53162241469948,22061.64285714286,0,0,0,1,1,0,0,0,1.0,136.28571428571428,18.666666666666668,174.25,0,0,0,0,0,0,3,56,4,697,-1,254,1,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.207.251.29-64357-50004-17,35.207.251.29,50004,192.168.16.107,64357,17,11/05/2025 05:26:36 PM,8997334,10,5,476.0,260.0,52.0,8.0,47.6,13.91402170474087,72.0,8.0,52.0,25.139610179953067,81.80200935076991,1.6671605166597128,642666.7142857143,404863.579090619,1000573.0,9649.0,7999805.0,888867.2222222222,329722.20835795155,1000573.0,9649.0,7299514.0,1824878.5,1358219.0352645628,3192903.0,268234.0,0,0,0,0,80,40,1.1114403444398084,0.5557201722199042,8.0,72.0,50.50000000000001,17.94064287216784,321.8666666666666,0,0,0,0,0,0,0,0,0.0,53.86666666666667,47.6,52.0,0,0,0,0,0,0,10,476,5,260,-1,-1,10,0,0,0,0,0,0,0,0,0,No Label
162.159.138.232-192.168.16.107-443-64456-6,192.168.16.107,64456,162.159.138.232,443,6,11/05/2025 05:26:37 PM,420338,4,5,1068.0,414.0,1029.0,0.0,267.0,508.33256830543525,288.0,0.0,82.8,120.16114180549384,3525.734052119961,21.41134039748964,52542.25,113692.31620317555,330619.0,19.0,420290.0,140096.6666666667,204408.8559831333,374655.0,19.0,379778.0,94944.5,158261.35804737682,330619.0,46.0,0,1,0,0,80,100,9.516151287773173,11.895189109716467,0.0,1029.0,156.9,318.6410205858624,101532.1,0,0,0,1,1,0,0,0,1.0,174.33333333333334,267.0,82.8,0,0,0,0,0,0,4,1068,5,414,-1,17,2,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-52.104.123.39-64632-443-6,52.104.123.39,443,192.168.16.107,64632,6,11/05/2025 05:26:39 PM,48,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41666.666666666664,48.0,0.0,48.0,48.0,0,0,0,0,0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,0,40,0.0,41666.666666666664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-4.213.25.241-64631-443-6,4.213.25.241,443,192.168.16.107,64631,6,11/05/2025 05:26:38 PM,34,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,34.0,34.0,0.0,34.0,34.0,0,0,0,0,0,40,0.0,58823.529411764706,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-216.137.52.82-64548-443-6,192.168.16.107,64548,216.137.52.82,443,6,11/05/2025 05:26:39 PM,137575,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,7.268762493185535,14.53752498637107,137575.0,0.0,137575.0,137575.0,0,0,0,0,0,137575.0,137575.0,0.0,137575.0,137575.0,0,0,0,0,0,52,0.0,14.53752498637107,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,145,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.207.251.29-62783-50004-17,192.168.16.107,62783,35.207.251.29,50004,17,11/05/2025 05:26:44 PM,152973,1,3,8.0,156.0,8.0,8.0,8.0,0.0,74.0,8.0,52.0,38.1051177665153,1072.084616239467,26.148405274133346,50991.0,22674.666502508917,77162.0,37235.0,0,0,0,0,0,152973.0,76486.5,53613.54325634522,114397.0,38576.0,0,0,0,0,8,24,6.537101318533336,19.611303955600007,8.0,74.0,47.6,36.149688795340964,1306.8,0,0,0,0,0,0,0,0,3.0,59.5,8.0,52.0,0,0,0,0,0,0,1,8,3,156,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.186.224.45-64433-443-6,192.168.16.107,64433,35.186.224.45,443,6,11/05/2025 05:26:45 PM,181879,1,3,0.0,83.0,0.0,0.0,0.0,0.0,43.0,0.0,27.666666666666668,24.00694344004112,456.34735181081925,21.992643460762373,60626.333333333336,37591.80848713365,104017.0,37891.0,0,0,0,0,0,141908.0,70954.0,46758.14301274164,104017.0,37891.0,0,1,0,0,20,60,5.498160865190593,16.49448259557178,0.0,43.0,25.2,23.03692687838376,530.7,0,0,0,1,1,0,0,0,3.0,31.5,0.0,27.666666666666668,0,0,0,0,0,0,1,0,3,83,-1,1048,0,0,0,0,0,0,0,0,0,0,No Label
