Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.16.107-35.207.222.105-49668-50008-17,192.168.16.107,49668,35.207.222.105,50008,17,11/05/2025 05:45:55 PM,9937308,213,142,40643.0,26960.0,242.0,8.0,190.81220657276995,62.182570825334096,240.0,8.0,189.85915492957736,62.33603645096102,6802.949048172805,35.72396065413289,28071.491525423735,93331.93635895084,1600681.0,870.0,9511319.0,44864.71226415094,221972.42593401225,2623978.0,870.0,9937308.0,70477.3617021277,220946.05125150466,1644584.0,3194.0,0,0,0,0,1704,1136,21.434376392479734,14.289584261653156,8.0,242.0,190.50842696629203,62.08728464590555,3854.8309147016985,0,0,0,0,0,0,0,0,0.0,191.04507042253522,190.81220657276995,189.85915492957747,0,0,0,0,0,0,213,40643,142,26960,-1,-1,213,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-4.213.25.242-49445-443-6,4.213.25.242,443,192.168.16.107,49445,6,11/05/2025 05:45:56 PM,94,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21276.595744680853,94.0,0.0,94.0,94.0,0,0,0,0,0,94.0,94.0,0.0,94.0,94.0,0,0,0,0,0,40,0.0,21276.595744680853,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.174.127.31-65027-443-6,192.168.16.107,65027,35.174.127.31,443,6,11/05/2025 05:45:59 PM,351477,1,2,0.0,497.0,0.0,0.0,0.0,0.0,259.0,238.0,248.5,14.849242404917497,1414.032781661389,8.535409144837358,175738.5,191708.6691949532,311297.0,40180.0,0,0,0,0,0,311297.0,311297.0,0.0,311297.0,311297.0,0,1,0,0,20,40,2.845136381612453,5.690272763224906,0.0,259.0,183.75,122.89934906255607,15104.25,0,0,0,1,1,0,0,0,2.0,245.0,0.0,248.5,0,0,0,0,0,0,1,0,2,497,-1,371,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.207.225.210-63264-50001-17,192.168.16.107,63264,35.207.225.210,50001,17,11/05/2025 05:45:55 PM,9952186,1896,123,741302.0,7315.0,1214.0,8.0,390.9820675105487,291.61513780402737,303.0,8.0,59.47154471544714,23.723587626861537,75221.3634270903,202.87000263057786,4931.707631318134,5503.5732260584355,21721.0,0.0,9952037.0,5251.734564643816,5824.937814746446,22313.0,11.0,9919230.0,81305.16393442627,41766.08550034933,137289.0,0.0,0,0,0,0,15168,984,190.5109088596214,12.359093770956452,8.0,1214.0,370.752475247525,293.4964472622023,86140.1645555347,0,0,0,0,0,0,0,0,0.0,370.9361069836553,390.9820675105485,59.47154471544715,0,0,0,0,0,0,1896,741302,123,7315,-1,-1,1896,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-20.189.173.7-65254-443-6,192.168.16.107,65254,20.189.173.7,443,6,11/05/2025 05:45:55 PM,286025,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,3.49619788480028,6.99239576960056,286025.0,0.0,286025.0,286025.0,0,0,0,0,0,286025.0,286025.0,0.0,286025.0,286025.0,0,0,0,0,0,52,0.0,6.99239576960056,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,16383,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-13.107.246.58-65287-443-6,13.107.246.58,443,192.168.16.107,65287,6,11/05/2025 05:45:55 PM,88,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22727.272727272728,88.0,0.0,88.0,88.0,0,0,0,0,0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,0,40,0.0,22727.272727272728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
150.109.28.54-192.168.16.107-443-65258-6,192.168.16.107,65258,150.109.28.54,443,6,11/05/2025 05:45:57 PM,71987,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,13.891397057802104,27.782794115604208,71987.0,0.0,71987.0,71987.0,0,0,0,0,0,71987.0,71987.0,0.0,71987.0,71987.0,0,0,0,0,0,52,0.0,27.782794115604208,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
140.82.113.25-192.168.16.107-443-64914-6,192.168.16.107,64914,140.82.113.25,443,6,11/05/2025 05:45:55 PM,301762,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,3.3138698709579075,6.627739741915815,301762.0,0.0,301762.0,301762.0,0,0,0,0,0,301762.0,301762.0,0.0,301762.0,301762.0,0,0,0,0,0,52,0.0,6.627739741915815,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,76,0,0,0,0,0,0,0,0,0,0,No Label
162.159.130.234-192.168.16.107-443-64920-6,162.159.130.234,443,192.168.16.107,64920,6,11/05/2025 05:45:56 PM,8913236,17,19,1942.0,179.0,338.0,0.0,114.23529411764706,109.04845792798075,125.0,0.0,9.421052631578947,30.600137598589843,237.96071370712053,4.03893714920148,254663.88571428566,369161.30494921876,1228214.0,0.0,7718691.0,482418.18750000006,411604.24659701437,1269948.0,0.0,8913236.0,495179.77777777775,422658.01521276607,1228244.0,36.0,0,1,0,0,340,412,1.90727587601181,2.13166127318967,0.0,338.0,60.70270270270271,92.78675218683637,8609.381381381383,0,0,0,1,1,0,0,0,1.0,62.388888888888886,114.23529411764706,9.421052631578947,0,0,0,0,0,0,17,1942,19,179,-1,254,16,0,0,0,0,0,0,0,0,0,No Label
162.159.138.234-192.168.16.107-443-64960-6,192.168.16.107,64960,162.159.138.234,443,6,11/05/2025 05:46:03 PM,87320,1,3,0.0,128.0,0.0,0.0,0.0,0.0,72.0,0.0,42.666666666666664,37.80652501002086,1465.8726523133303,45.80852038479157,29106.666666666668,19345.948990249442,40337.0,6768.0,0,0,0,0,0,46983.0,23491.5,23650.600510346456,40215.0,6768.0,0,1,0,0,20,60,11.452130096197893,34.35639028859368,0.0,72.0,40.0,37.094473981982816,1376.0,0,0,0,1,1,0,0,0,3.0,50.0,0.0,42.666666666666664,0,0,0,0,0,0,1,0,3,128,-1,11,0,0,0,0,0,0,0,0,0,0,No Label
