Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.16.107-13.107.246.58-65108-443-6,192.168.16.107,65108,13.107.246.58,443,6,11/05/2025 05:40:55 PM,92752,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,10.781438675176815,21.56287735035363,92752.0,0.0,92752.0,92752.0,0,0,0,0,0,92752.0,92752.0,0.0,92752.0,92752.0,0,0,0,0,0,52,0.0,21.56287735035363,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,83,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.207.222.105-49668-50008-17,192.168.16.107,49668,35.207.222.105,50008,17,11/05/2025 05:40:51 PM,9840842,449,13,82956.0,794.0,246.0,8.0,184.75723830734938,60.13427198658043,218.0,8.0,61.07692307692307,50.95498264556918,8510.450630139168,46.94720228208114,21346.728850325373,26402.57628680705,460182.0,105.0,9820704.0,21921.21428571427,26596.88118877174,460182.0,105.0,9840842.0,820070.1666666666,281334.2903515426,1003423.0,257070.0,0,0,0,0,3592,104,45.62617710964163,1.3210251724395128,8.0,246.0,181.35637149028088,63.20776225525026,3995.221209316239,0,0,0,0,0,0,0,0,0.0,181.74891774891776,184.75723830734967,61.07692307692308,0,0,0,0,0,0,449,82956,13,794,-1,-1,449,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.174.127.31-65027-443-6,35.174.127.31,443,192.168.16.107,65027,6,11/05/2025 05:40:51 PM,9577694,1,3,0.0,291.0,0.0,0.0,0.0,0.0,239.0,24.0,97.0,122.99186964998947,30.383096390425507,0.4176370637859176,3192564.6666666665,5248165.658386779,9249677.0,346.0,0,0,0,0,0,9577694.0,4788847.0,6771963.057637128,9577348.0,346.0,0,1,0,0,20,60,0.1044092659464794,0.3132277978394382,0.0,239.0,63.0,99.0101004948485,9803.0,0,0,0,1,1,0,0,0,3.0,78.75,0.0,97.0,0,0,0,0,0,0,1,0,3,291,-1,254,0,0,328017.0,0.0,328017.0,328017.0,9249677.0,0.0,9249677.0,9249677.0,No Label
140.82.113.25-192.168.16.107-443-64914-6,192.168.16.107,64914,140.82.113.25,443,6,11/05/2025 05:40:55 PM,303646,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,3.2933086554738082,6.5866173109476165,303646.0,0.0,303646.0,303646.0,0,0,0,0,0,303646.0,303646.0,0.0,303646.0,303646.0,0,0,0,0,0,52,0.0,6.5866173109476165,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,76,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.207.225.210-52628-50001-17,192.168.16.107,52628,35.207.225.210,50001,17,11/05/2025 05:40:51 PM,9852185,1787,123,727546.0,7849.0,1187.0,8.0,407.13262451035234,287.02270138979736,889.0,8.0,63.81300813008132,75.58019837747597,74642.83303652945,193.8656247319757,5160.914091147195,5289.439281625174,21647.0,0.0,9851294.0,5515.842105263178,5573.455089378449,21647.0,10.0,9781443.0,80175.76229508196,39666.479202822986,133204.0,0.0,0,0,0,0,14296,984,181.3810845005448,12.484540231430895,8.0,1187.0,385.28728414442736,290.91771680007776,84633.11794817026,0,0,0,0,0,0,0,0,0.0,385.4890052356021,407.13262451035257,63.8130081300813,0,0,0,0,0,0,1787,727546,123,7849,-1,-1,1787,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,11/05/2025 05:40:53 PM,5834908,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342764615997373,5834908.0,0.0,5834908.0,5834908.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1713823079986865,0.1713823079986865,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5834908.0,0.0,5834908.0,5834908.0,No Label
162.159.130.234-192.168.16.107-443-64920-6,162.159.130.234,443,192.168.16.107,64920,6,11/05/2025 05:40:51 PM,9409590,10,12,894.0,47.0,312.0,44.0,89.39999999999999,82.46372940066843,47.0,0.0,3.9166666666666674,13.567731325956204,100.00435725679866,2.338040233421435,448075.71428571426,781943.303214507,3479502.0,39687.0,8724883.0,969431.4444444445,1018125.6915964639,3519654.0,169995.0,9409590.0,855417.2727272727,955213.1461182986,3520613.0,40788.0,0,1,0,0,200,240,1.062745560646107,1.2752946727753283,0.0,312.0,42.95652173913044,68.458001896896,4686.498023715415,0,0,0,1,1,0,0,0,1.0,44.90909090909091,89.4,3.9166666666666665,0,0,0,0,0,0,10,894,12,47,-1,251,10,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-13.107.246.58-65112-443-6,13.107.246.58,443,192.168.16.107,65112,6,11/05/2025 05:40:55 PM,20,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,20.0,20.0,0.0,20.0,20.0,0,0,0,0,0,40,0.0,99999.99999999999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
162.159.138.234-192.168.16.107-443-64964-6,192.168.16.107,64964,162.159.138.234,443,6,11/05/2025 05:40:53 PM,85374,1,2,0.0,129.0,0.0,0.0,0.0,0.0,73.0,56.0,64.5,12.020815280171307,1510.9986646988543,35.13950383020592,42687.0,2361.7366491630687,44357.0,41017.0,0,0,0,0,0,44357.0,44357.0,0.0,44357.0,44357.0,0,1,0,0,20,40,11.713167943401972,23.426335886803944,0.0,73.0,50.5,34.60732099811637,1197.6666666666665,0,0,0,1,1,0,0,0,2.0,67.33333333333333,0.0,64.5,0,0,0,0,0,0,1,0,2,129,-1,13,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-35.186.224.24-64921-443-6,35.186.224.24,443,192.168.16.107,64921,6,11/05/2025 05:40:56 PM,31344,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.71209800918837,15672.0,22114.05747482809,31309.0,35.0,0,0,0,0,0,35.0,35.0,0.0,35.0,35.0,0,0,0,0,20,40,31.904032669729457,63.80806533945891,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,252,0,0,0,0,0,0,0,0,0,0,No Label
