Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.66-51.11.168.232-56568-443-6,192.168.1.66,56568,51.11.168.232,443,6,16/06/2025 05:56:31 PM,851818,10,10,1270.0,4240.0,773.0,0.0,127.0,239.4465841616177,1412.0,0.0,424.0,594.0319856708054,6468.517922842673,23.479193912314603,44832.52631578947,70977.68805396087,160886.0,15.0,691773.0,76863.66666666667,89249.00077451848,199931.0,38.0,850584.0,94509.33333333333,90390.47849054678,200718.0,87.0,0,0,0,0,200,224,11.739596956157301,11.739596956157301,0.0,1412.0,262.3809523809524,458.54165309058635,210260.44761904763,0,1,0,0,0,0,0,0,1.0,275.5,127.0,424.0,0,0,0,0,0,0,10,1270,10,4240,-1,16381,5,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-51.11.168.232-56568-443-6,51.11.168.232,443,192.168.1.66,56568,6,16/06/2025 05:56:32 PM,110,1,2,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,21.0,29.698484809834994,381818.1818181818,27272.727272727272,55.0,45.254833995939045,87.0,23.0,0,0,0,0,0,23.0,23.0,0.0,23.0,23.0,0,1,0,0,20,40,9090.90909090909,18181.81818181818,0.0,42.0,21.0,24.24871130596428,588.0,0,0,0,1,1,0,0,0,2.0,28.0,0.0,21.0,0,0,0,0,0,0,1,0,2,42,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-207.211.208.136-56582-443-6,192.168.1.66,56582,207.211.208.136,443,6,16/06/2025 05:56:37 PM,10330722,19,19,2690.0,9432.0,889.0,0.0,141.57894736842104,244.5209183938334,1412.0,0.0,496.42105263157885,603.3117229821739,1173.393302036392,3.6783489092049906,279208.7027027028,1635689.7372498019,9958885.0,11.0,1.0257404E7,569855.7777777778,2343368.1262921426,9958968.0,16.0,1.0330639E7,573924.3888888889,2352394.4668889823,9998985.0,109.0,0,0,0,0,380,404,1.8391744546024953,1.8391744546024953,0.0,1412.0,310.8205128205129,484.58565435870725,234823.25641025646,0,1,0,0,0,0,0,0,1.0,319.0,141.57894736842104,496.42105263157896,0,0,0,0,0,0,19,2690,19,9432,-1,501,8,0,371754.0,0.0,371754.0,371754.0,9958885.0,0.0,9958885.0,9958885.0,No Label
192.168.1.66-207.211.208.136-56582-443-6,207.211.208.136,443,192.168.1.66,56582,6,16/06/2025 05:56:48 PM,112,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,214285.7142857143,26785.714285714286,56.0,59.39696961966999,98.0,14.0,0,0,0,0,0,14.0,14.0,0.0,14.0,14.0,0,1,0,0,20,40,8928.57142857143,17857.14285714286,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
185.196.197.71-192.168.1.66-443-56590-6,192.168.1.66,56590,185.196.197.71,443,6,16/06/2025 05:56:38 PM,10827039,16,33,695.0,32341.0,602.0,0.0,43.43749999999999,150.7456881638742,1300.0,0.0,980.030303030303,538.8162073499926,3051.249746121724,4.525706428137925,225563.31249999997,1402457.4124970501,9725707.0,0.0,827063.0,55137.533333333326,113376.30218742909,279240.0,77.0,1.0827039E7,338344.96875,1715426.3155501513,9725714.0,0.0,0,0,0,0,320,676,1.4777816908205468,3.0479247373173775,0.0,1300.0,660.7199999999999,631.3089750992111,398551.0220408163,0,1,0,0,0,0,0,0,2.0,674.204081632653,43.4375,980.030303030303,0,0,0,0,0,0,16,695,33,32341,-1,65535,2,0,1101231.0,0.0,1101231.0,1101231.0,9725707.0,0.0,9725707.0,9725707.0,No Label
192.168.1.66-101.33.47.206-56618-8081-6,192.168.1.66,56618,101.33.47.206,8081,6,16/06/2025 05:56:49 PM,73896,3,2,1130.0,0.0,1130.0,0.0,376.66666666666663,652.4058041842771,0.0,0.0,0.0,0.0,15291.761394392119,67.66266103713326,18474.0,36862.673306928424,73768.0,17.0,57.0,28.5,16.263455967290593,40.0,17.0,73768.0,73768.0,0.0,73768.0,73768.0,0,0,0,0,60,56,40.59759662227996,27.065064414853307,0.0,1130.0,188.33333333333334,461.3205682241652,212816.66666666666,0,1,0,0,0,0,0,0,0.0,226.0,376.6666666666667,0.0,0,0,0,0,0,0,3,1130,2,0,-1,42340,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-101.33.47.206-56619-8081-6,192.168.1.66,56619,101.33.47.206,8081,6,16/06/2025 05:56:49 PM,73984,3,2,1114.0,0.0,1114.0,0.0,371.33333333333337,643.1681998772431,0.0,0.0,0.0,0.0,15057.309688581316,67.58217993079586,18496.0,36931.33654951217,73893.0,14.0,40.0,20.0,8.48528137423857,26.0,14.0,73893.0,73893.0,0.0,73893.0,73893.0,0,0,0,0,60,56,40.54930795847751,27.03287197231834,0.0,1114.0,185.66666666666669,454.78859557674343,206832.6666666667,0,1,0,0,0,0,0,0,0.0,222.8,371.3333333333333,0.0,0,0,0,0,0,0,3,1114,2,0,-1,42340,1,0,0,0,0,0,0,0,0,0,No Label
185.196.197.72-192.168.1.66-443-56598-6,192.168.1.66,56598,185.196.197.72,443,6,16/06/2025 05:56:39 PM,10807171,5,12,709.0,3816.0,616.0,0.0,141.8,268.1272086156122,1300.0,0.0,318.0,491.1480058356785,418.7034701310824,1.573029611542188,675448.1875,2488161.8291768786,9997411.0,0.0,543427.0,135856.75,155411.4947193954,274891.0,101.0,1.0807171E7,982470.0909090909,2992448.7732903454,9997447.0,0.0,0,0,0,0,100,256,0.4626557681006435,1.1103738434415444,0.0,1300.0,251.38888888888889,428.2349738291555,183385.1928104575,0,1,0,0,0,0,0,0,2.0,266.1764705882353,141.8,318.0,0,0,0,0,0,0,5,709,12,3816,-1,41488,2,0,809657.0,0.0,809657.0,809657.0,9997411.0,0.0,9997411.0,9997411.0,No Label
192.168.1.66-101.33.47.206-56619-8081-6,101.33.47.206,8081,192.168.1.66,56619,6,16/06/2025 05:56:50 PM,104,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.76923076923,104.0,0.0,104.0,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9615.384615384615,9615.384615384615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,41786,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-101.33.47.206-56618-8081-6,101.33.47.206,8081,192.168.1.66,56618,6,16/06/2025 05:56:50 PM,1542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.0168612191958,1542.0,0.0,1542.0,1542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,648.5084306095979,648.5084306095979,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,41810,0,0,0,0,0,0,0,0,0,0,No Label
