Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.159.136.234-192.168.1.68-443-49791-6,162.159.136.234,443,192.168.1.68,49791,6,11/05/2025 06:39:44 PM,9351296,22,21,3452.0,118.0,1252.0,0.0,156.9090909090909,261.2028784736947,64.0,0.0,5.619047619047619,17.817059775608854,381.76526547764075,4.598293113596233,222649.9047619047,341377.5987356629,1424353.0,16.0,9291716.0,442462.6666666666,412722.7277467687,1464784.0,1265.0,9351296.0,467564.8,406001.4073081132,1465164.0,4003.0,0,1,0,0,440,420,2.3526150813748172,2.245678032221416,0.0,1252.0,82.59090909090911,197.977484999169,39195.08456659619,0,0,0,1,1,0,0,0,0.0,84.51162790697674,156.9090909090909,5.619047619047619,0,0,0,0,0,0,22,3452,21,118,-1,510,21,0,0,0,0,0,0,0,0,0,No Label
192.168.1.68-54.148.182.40-50053-443-6,54.148.182.40,443,192.168.1.68,50053,6,11/05/2025 06:39:54 PM,22,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90909.09090909091,22.0,0.0,22.0,22.0,0,0,0,0,0,22.0,22.0,0.0,22.0,22.0,0,0,0,0,0,40,0.0,90909.09090909091,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,250,0,0,0,0,0,0,0,0,0,0,No Label
154.57.164.101-192.168.1.68-1337-65502-17,154.57.164.101,1337,192.168.1.68,65502,17,11/05/2025 06:39:44 PM,9609715,29,31,2900.0,3580.0,100.0,100.0,100.0,0.0,116.0,100.0,115.48387096774195,2.8736848324283972,674.3176046323955,6.243681524374032,162876.52542372886,23237.43009661422,176131.0,950.0,9106934.0,325247.6428571429,32922.08759999583,334967.0,157490.0,9609715.0,320323.8333333334,42304.752600121305,332226.0,158034.0,0,0,0,0,232,248,3.0177794034474488,3.2259021209265835,100.0,116.0,107.86885245901637,8.065307206044222,65.04918032786885,0,0,0,0,0,0,0,0,1.0,109.66666666666667,100.0,115.48387096774194,0,0,0,0,0,0,29,2900,31,3580,-1,-1,29,0,0,0,0,0,0,0,0,0,No Label
162.159.200.1-192.168.1.68-123-64773-17,192.168.1.68,64773,162.159.200.1,123,17,11/05/2025 06:39:44 PM,6011,0,2,0.0,96.0,0,0,0,0,48.0,48.0,48.0,0.0,15970.720346032274,332.72334054233903,6011.0,0.0,6011.0,6011.0,0,0,0,0,0,6011.0,6011.0,0.0,6011.0,6011.0,0,0,0,0,0,16,0.0,332.72334054233903,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,0.0,48.0,0,0,0,0,0,0,0,0,2,96,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.68-34.237.73.95-50910-443-6,192.168.1.68,50910,34.237.73.95,443,6,11/05/2025 06:39:47 PM,278297,1,2,0.0,503.0,0.0,0.0,0.0,0.0,263.0,240.0,251.5,16.263455967290593,1807.4215676058311,10.779850303812113,139148.5,140286.4498535051,238346.0,39951.0,0,0,0,0,0,238346.0,238346.0,0.0,238346.0,238346.0,0,1,0,0,20,40,3.593283434604038,7.186566869208076,0.0,263.0,185.75,124.30707944441458,15452.249999999998,0,0,0,1,1,0,0,0,2.0,247.66666666666666,0.0,251.5,0,0,0,0,0,0,1,0,2,503,-1,836,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.68-35.207.249.145-61411-50002-17,192.168.1.68,61411,35.207.249.145,50002,17,11/05/2025 06:39:44 PM,9839640,2288,123,712784.0,7569.0,1176.0,8.0,311.53146853146836,148.77009512772992,161.0,8.0,61.53658536585367,12.769901011803476,73209.28407949884,245.0292896894602,4082.8381742738657,4510.149414524977,20732.0,0.0,9820707.0,4294.143856580677,4701.567043433299,20732.0,5.0,9749063.0,79910.35245901639,38887.704979771624,133943.0,0.0,0,0,0,0,18304,984,232.5288323556553,12.500457333804896,8.0,1176.0,298.7205638474288,155.03576026124261,24036.086959781493,0,0,0,0,0,0,0,0,0.0,298.8444628784737,311.53146853146853,61.53658536585366,0,0,0,0,0,0,2288,712784,123,7569,-1,-1,2288,0,0,0,0,0,0,0,0,0,No Label
255.250.0.0-0.3.240.104-0-0-0,255.250.0.0,0,0.3.240.104,0,0,11/05/2025 06:39:49 PM,5009658,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992288495542011,5009658.0,0.0,5009658.0,5009658.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19961442477710056,0.19961442477710056,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5009658.0,0.0,5009658.0,5009658.0,No Label
192.168.1.68-34.237.73.95-50341-443-6,192.168.1.68,50341,34.237.73.95,443,6,11/05/2025 06:39:51 PM,272146,1,2,0.0,503.0,0.0,0.0,0.0,0.0,262.0,241.0,251.5,14.849242404917497,1848.272618373961,11.023494741793009,136073.0,134876.37587064682,231445.0,40701.0,0,0,0,0,0,231445.0,231445.0,0.0,231445.0,231445.0,0,1,0,0,20,40,3.674498247264336,7.348996494528672,0.0,262.0,186.0,124.39453364195711,15474.0,0,0,0,1,1,0,0,0,2.0,248.0,0.0,251.5,0,0,0,0,0,0,1,0,2,503,-1,1596,0,0,0,0,0,0,0,0,0,0,No Label
134.221.98.137-102.2.0.20-0-0-0,134.221.98.137,0,102.2.0.20,0,0,11/05/2025 06:39:48 PM,5044625,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39646158039497487,5044625.0,0.0,5044625.0,5044625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19823079019748743,0.19823079019748743,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5044625.0,0.0,5044625.0,5044625.0,No Label
134.221.98.137-102.2.0.80-0-0-0,134.221.98.137,0,102.2.0.80,0,0,11/05/2025 06:39:48 PM,4997325,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4002141145512849,4997325.0,0.0,4997325.0,4997325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20010705727564246,0.20010705727564246,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
